iata,name,city,state,country,latitude,longitude,lineage
Z02090,3rd Party-Westwood-MA,Westwood,MA,USA,42.2129,-71.2074,0
Z02115,3rd Party-Boston-MA,Boston,MA,USA,42.3431,-71.0927,0
Z02118,3rd Party-Boston-MA,Boston,MA,USA,42.3387,-71.0728,0
Z02128,3rd Party-Boston-MA,Boston,MA,USA,42.3783,-71.0255,0
Z02129,3rd Party-Charlestown-MA,Charlestown,MA,USA,42.3786,-71.0649,0
Z02138,3rd Party-Cambridge-MA,Cambridge,MA,USA,42.3791,-71.128,0
Z02139,3rd Party-Cambridge-MA,Cambridge,MA,USA,42.3643,-71.1043,0
Z02143,3rd Party-Somerville-MA,Somerville,MA,USA,42.3819,-71.0991,0
Z02149,3rd Party-Everett-MA,Everett,MA,USA,42.4099,-71.0522,0
Z02150,3rd Party-Chelsea-MA,Chelsea,MA,USA,42.3964,-71.0335,0
Z02155,3rd Party-Medford-MA,Medford,MA,USA,42.4198,-71.1094,0
Z02184,3rd Party-Braintree-MA,Braintree,MA,USA,42.2096,-70.9997,0
Z02190,3rd Party-Weymouth-MA,Weymouth,MA,USA,42.1711,-70.946,0
Z02210,3rd Party-Boston-MA,Boston,MA,USA,42.348,-71.0446,0
Z02322,3rd Party-Avon-MA,Avon,MA,USA,42.1219,-71.0452,0
Z02346,3rd Party-Middleboro-MA,Middleboro,MA,USA,41.8896,-70.8941,0
Z02349,3rd Party-Middleboro-MA,Middleboro,MA,USA,41.9705,-70.7014,0
Z02360,3rd Party-Plymouth-MA,Plymouth,MA,USA,41.8947,-70.62,0
Z02367,3rd Party-Plympton-MA,Plympton,MA,USA,41.969,-70.8045,0
Z02379,3rd Party-West Bridgewater-MA,West Bridgewater,MA,USA,42.0219,-71.0188,0
Z02445,3rd Party-Brookline-MA,Brookline,MA,USA,42.3244,-71.1393,0
Z02452,3rd Party-Waltham-MA,Waltham,MA,USA,42.3925,-71.2215,0
Z02458,3rd Party-Newton-MA,Newton,MA,USA,42.3547,-71.1881,0
Z02461,3rd Party-Newton Highlands-MA,Newton Highlands,MA,USA,42.3188,-71.2082,0
Z02481,3rd Party-Wellesley Hills-MA,Wellesley Hills,MA,USA,42.3133,-71.2765,0
Z02494,3rd Party-Needham-MA,Needham,MA,USA,42.2981,-71.2315,0
Z02657,3rd Party-Provincetown-MA,Provincetown,MA,USA,42.0534,-70.1895,0
Z02702,3rd Party-Assonet-MA,Assonet,MA,USA,41.7922,-71.0645,0
Z02720,3rd Party-Fall River-MA,Fall River,MA,USA,41.717,-71.1399,0
Z02724,3rd Party-Fall River-MA,Fall River,MA,USA,41.6842,-71.1744,0
Z02740,3rd Party-New Bedford-MA,New Bedford,MA,USA,41.6348,-70.9375,0
Z02745,3rd Party-New Bedford-MA,New Bedford,MA,USA,41.6928,-70.9326,0
Z02771,3rd Party-Seekonk-MA,Seekonk,MA,USA,41.8434,-71.3234,0
Z02780,3rd Party-Taunton-MA,Taunton,MA,USA,41.9049,-71.1029,0
Z02882,3rd Party-Narragansett-RI,Narragansett,RI,USA,41.4325,-71.4635,0
Z02886,3rd Party-Warwick-RI,Warwick,RI,USA,41.7055,-71.4512,0
Z02888,3rd Party-Warwick-RI,Warwick,RI,USA,41.7481,-71.4098,0
Z02906,3rd Party-Providence-RI,Providence,RI,USA,41.8363,-71.3943,0
Z02908,3rd Party-Providence-RI,Providence,RI,USA,41.8393,-71.438,0
Z02920,3rd Party-Cranston-RI,Cranston,RI,USA,41.7715,-71.4649,0
Z02921,3rd Party-Cranston-RI,Cranston,RI,USA,41.7644,-71.5097,0
Z03054,3rd Party-Merrimack-NH,Merrimack,NH,USA,42.8581,-71.5122,0
Z03106,3rd Party-Hooksett-NH,Hooksett,NH,USA,43.0588,-71.4441,0
Z03109,3rd Party-Manchester-NH,Manchester,NH,USA,42.9726,-71.4135,0
Z03224,3rd Party-Canterbury-NH,Canterbury,NH,USA,43.3461,-71.5443,0
Z03229,3rd Party-Contoocook-NH,Contoocook,NH,USA,43.2042,-71.7071,0
Z03275,3rd Party-Suncook-NH,Suncook,NH,USA,43.1525,-71.4365,0
Z03443,3rd Party-Chesterfield-NH,Chesterfield,NH,USA,42.8718,-72.4716,0
Z03570,3rd Party-Berlin-NH,Berlin,NH,USA,44.4633,-71.1909,0
Z03745,3rd Party-Cornish-NH,Cornish,NH,USA,43.4763,-72.3334,0
Z03801,3rd Party-Portsmouth-NH,Portsmouth,NH,USA,43.0702,-70.7768,0
Z03825,3rd Party-Barrington-NH,Barrington,NH,USA,43.2081,-71.0436,0
Z04062,3rd Party-Windham-ME,Windham,ME,USA,43.8107,-70.417,0
Z04072,3rd Party-Saco-ME,Saco,ME,USA,43.5273,-70.4517,0
Z04074,3rd Party-Scarborough-ME,Scarborough,ME,USA,43.5832,-70.3527,0
Z04090,3rd Party-Wells-ME,Wells,ME,USA,43.3202,-70.6118,0
Z04092,3rd Party-Westbrook-ME,Westbrook,ME,USA,43.6821,-70.3582,0
Z04101,3rd Party-Portland-ME,Portland,ME,USA,43.6605,-70.2586,0
Z04104,3rd Party-Portland-ME,Portland,ME,USA,43.8465,-70.4648,0
Z04106,3rd Party-South Portland-ME,South Portland,ME,USA,43.6315,-70.2727,0
Z04210,3rd Party-Auburn-ME,Auburn,ME,USA,44.0892,-70.2414,0
Z04211,3rd Party-Auburn-ME,Auburn,ME,USA,44.197,-70.2395,0
Z04220,3rd Party-Buckfield-ME,Buckfield,ME,USA,44.2953,-70.3671,0
Z04240,3rd Party-Lewiston-ME,Lewiston,ME,USA,44.0948,-70.1914,0
Z04241,3rd Party-Lewiston-ME,Lewiston,ME,USA,44.197,-70.2395,0
Z04330,3rd Party-Augusta-ME,Augusta,ME,USA,44.3444,-69.7635,0
Z04401,3rd Party-Bangor-ME,Bangor,ME,USA,44.8178,-68.7895,0
Z04622,3rd Party-Cherryfield-ME,Cherryfield,ME,USA,44.6867,-67.9917,0
Z04945,3rd Party-Jackman-ME,Jackman,ME,USA,45.5877,-70.2726,0
Z05001,3rd Party-White River Junction-VT,White River Junction,VT,USA,43.6629,-72.3682,0
Z05301,3rd Party-Brattleboro-VT,Brattleboro,VT,USA,42.85,-72.6233,0
Z05303,3rd Party-Brattleboro-VT,Brattleboro,VT,USA,42.9947,-72.7204,0
Z05446,3rd Party-Colchester-VT,Colchester,VT,USA,44.5419,-73.1966,0
Z05655,3rd Party-Hyde Park-VT,Hyde Park,VT,USA,44.6109,-72.5997,0
Z05701,3rd Party-Rutland-VT,Rutland,VT,USA,43.6173,-72.9632,0
Z05753,3rd Party-Middlebury-VT,Middlebury,VT,USA,44.006,-73.172,0
Z06002,3rd Party-Bloomfield-CT,Bloomfield,CT,USA,41.8328,-72.7264,0
Z06026,3rd Party-East Granby-CT,East Granby,CT,USA,41.9355,-72.7272,0
Z06067,3rd Party-Rocky Hill-CT,Rocky Hill,CT,USA,41.6609,-72.661,0
Z06074,3rd Party-South Windsor-CT,South Windsor,CT,USA,41.8367,-72.5608,0
Z06082,3rd Party-Enfield-CT,Enfield,CT,USA,41.9872,-72.5637,0
Z06084,3rd Party-Tolland-CT,Tolland,CT,USA,41.8769,-72.3681,0
Z06088,3rd Party-East Windsor-CT,East Windsor,CT,USA,41.9085,-72.6055,0
Z06095,3rd Party-Windsor-CT,Windsor,CT,USA,41.8573,-72.6665,0
Z06101,3rd Party-Hartford-CT,Hartford,CT,USA,41.7801,-72.6771,0
Z06108,3rd Party-East Hartford-CT,East Hartford,CT,USA,41.7783,-72.6231,0
Z06109,3rd Party-Wethersfield-CT,Wethersfield,CT,USA,41.702,-72.6747,0
Z06110,3rd Party-W Hartford-CT,W Hartford,CT,USA,41.7313,-72.7337,0
Z06120,3rd Party-Hartford-CT,Hartford,CT,USA,41.7848,-72.6738,0
Z06241,3rd Party-Dayville-CT,Dayville,CT,USA,41.8502,-71.8575,0
Z06269,3rd Party-Storrs Mansfield-CT,Storrs Mansfield,CT,USA,41.8074,-72.2503,0
Z06360,3rd Party-Norwich-CT,Norwich,CT,USA,41.5338,-72.0623,0
Z06389,3rd Party-Yantic-CT,Yantic,CT,USA,41.5596,-72.1227,0
Z06405,3rd Party-Branford-CT,Branford,CT,USA,41.2778,-72.8054,0
Z06410,3rd Party-Cheshire-CT,Cheshire,CT,USA,41.507,-72.9049,0
Z06451,3rd Party-Meriden-CT,Meriden,CT,USA,41.536,-72.8197,0
Z06457,3rd Party-Middletown-CT,Middletown,CT,USA,41.5537,-72.6632,0
Z06460,3rd Party-Milford-CT,Milford,CT,USA,41.2195,-73.0554,0
Z06473,3rd Party-North Haven-CT,North Haven,CT,USA,41.3784,-72.859,0
Z06477,3rd Party-Orange-CT,Orange,CT,USA,41.2795,-73.0254,0
Z06492,3rd Party-Wallingford-CT,Wallingford,CT,USA,41.4577,-72.817,0
Z06516,3rd Party-West Haven-CT,West Haven,CT,USA,41.2721,-72.965,0
Z06606,3rd Party-Bridgeport-CT,Bridgeport,CT,USA,41.2095,-73.2077,0
Z06810,3rd Party-Danbury-CT,Danbury,CT,USA,41.3902,-73.4544,0
Z06811,3rd Party-Danbury-CT,Danbury,CT,USA,41.4256,-73.4701,0
Z06824,3rd Party-Fairfield-CT,Fairfield,CT,USA,41.1639,-73.2657,0
Z06851,3rd Party-Norwalk-CT,Norwalk,CT,USA,41.1349,-73.4053,0
Z07001,3rd Party-Avenel-NJ,Avenel,NJ,USA,40.579,-74.2799,0
Z07002,3rd Party-Bayonne-NJ,Bayonne,NJ,USA,40.6666,-74.1177,0
Z07004,3rd Party-Fairfield-NJ,Fairfield,NJ,USA,40.879,-74.2938,0
Z07006,3rd Party-Caldwell-NJ,Caldwell,NJ,USA,40.849,-74.2792,0
Z07008,3rd Party-Carteret-NJ,Carteret,NJ,USA,40.5825,-74.23,0
Z07012,3rd Party-Clifton-NJ,Clifton,NJ,USA,40.8479,-74.1579,0
Z07014,3rd Party-Clifton-NJ,Clifton,NJ,USA,40.834,-74.1367,0
Z07016,3rd Party-Cranford-NJ,Cranford,NJ,USA,40.6563,-74.3037,0
Z07032,3rd Party-Kearny-NJ,Kearny,NJ,USA,40.7631,-74.1372,0
Z07033,3rd Party-Kenilworth-NJ,Kenilworth,NJ,USA,40.6747,-74.2908,0
Z07036,3rd Party-Linden-NJ,Linden,NJ,USA,40.634,-74.2534,0
Z07039,3rd Party-Livingston-NJ,Livingston,NJ,USA,40.7887,-74.3213,0
Z07040,3rd Party-Maplewood-NJ,Maplewood,NJ,USA,40.7289,-74.2682,0
Z07047,3rd Party-North Bergen-NJ,North Bergen,NJ,USA,40.7946,-74.0196,0
Z07054,3rd Party-Parsippany-NJ,Parsippany,NJ,USA,40.8601,-74.4171,0
Z07058,3rd Party-Pine Brook-NJ,Pine Brook,NJ,USA,40.8713,-74.3433,0
Z07068,3rd Party-Roseland-NJ,Roseland,NJ,USA,40.8218,-74.3048,0
Z07072,3rd Party-Carlstadt-NJ,Carlstadt,NJ,USA,40.8366,-74.0847,0
Z07073,3rd Party-East Rutherford-NJ,East Rutherford,NJ,USA,40.8302,-74.0971,0
Z07074,3rd Party-Moonachie-NJ,Moonachie,NJ,USA,40.8417,-74.059,0
Z07075,3rd Party-Wood Ridge-NJ,Wood Ridge,NJ,USA,40.8476,-74.0875,0
Z07078,3rd Party-Short Hills-NJ,Short Hills,NJ,USA,40.7392,-74.3275,0
Z07080,3rd Party-South Plainfield-NJ,South Plainfield,NJ,USA,40.5807,-74.414,0
Z07081,3rd Party-Springfield-NJ,Springfield,NJ,USA,40.7018,-74.3222,0
Z07088,3rd Party-Vauxhall-NJ,Vauxhall,NJ,USA,40.7184,-74.2842,0
Z07092,3rd Party-Mountainside-NJ,Mountainside,NJ,USA,40.6803,-74.356,0
Z07094,3rd Party-Secaucus-NJ,Secaucus,NJ,USA,40.7885,-74.06,0
Z07105,3rd Party-Newark-NJ,Newark,NJ,USA,40.7258,-74.1521,0
Z07111,3rd Party-Irvington-NJ,Irvington,NJ,USA,40.7257,-74.2321,0
Z07114,3rd Party-Newark-NJ,Newark,NJ,USA,40.7076,-74.1788,0
Z07201,3rd Party-Elizabeth-NJ,Elizabeth,NJ,USA,40.6695,-74.1989,0
Z07204,3rd Party-Roselle Park-NJ,Roselle Park,NJ,USA,40.6656,-74.2677,0
Z07205,3rd Party-Hillside-NJ,Hillside,NJ,USA,40.6956,-74.2286,0
Z07207,3rd Party-Elizabeth-NJ,Elizabeth,NJ,USA,40.6656,-74.2997,0
Z07302,3rd Party-Jersey City-NJ,Jersey City,NJ,USA,40.7216,-74.047,0
Z07304,3rd Party-Jersey City-NJ,Jersey City,NJ,USA,40.7165,-74.0725,0
Z07305,3rd Party-Jersey City-NJ,Jersey City,NJ,USA,40.7013,-74.0884,0
Z07405,3rd Party-Butler-NJ,Butler,NJ,USA,40.9931,-74.3589,0
Z07450,3rd Party-Ridgewood-NJ,Ridgewood,NJ,USA,40.984,-74.1144,0
Z07481,3rd Party-Wyckoff-NJ,Wyckoff,NJ,USA,40.9986,-74.1671,0
Z07501,3rd Party-Paterson-NJ,Paterson,NJ,USA,40.9122,-74.1686,0
Z07503,3rd Party-Paterson-NJ,Paterson,NJ,USA,40.8968,-74.1573,0
Z07512,3rd Party-Totowa-NJ,Totowa,NJ,USA,40.9033,-74.2176,0
Z07524,3rd Party-Paterson-NJ,Paterson,NJ,USA,40.9304,-74.1583,0
Z07606,3rd Party-South Hackensack-NJ,South Hackensack,NJ,USA,40.8637,-74.0464,0
Z07631,3rd Party-Englewood-NJ,Englewood,NJ,USA,40.8933,-73.9758,0
Z07652,3rd Party-Paramus-NJ,Paramus,NJ,USA,40.9471,-74.0705,0
Z07701,3rd Party-Red Bank-NJ,Red Bank,NJ,USA,40.353,-74.077,0
Z07712,3rd Party-Asbury Park-NJ,Asbury Park,NJ,USA,40.2327,-74.0314,0
Z07722,3rd Party-Colts Neck-NJ,Colts Neck,NJ,USA,40.3002,-74.1831,0
Z07726,3rd Party-Englishtown-NJ,Englishtown,NJ,USA,40.2942,-74.3421,0
Z07728,3rd Party-Freehold-NJ,Freehold,NJ,USA,40.241,-74.2763,0
Z07731,3rd Party-Howell-NJ,Howell,NJ,USA,40.1466,-74.2082,0
Z07748,3rd Party-Middletown-NJ,Middletown,NJ,USA,40.4102,-74.1172,0
Z07753,3rd Party-Neptune-NJ,Neptune,NJ,USA,40.2089,-74.0526,0
Z07801,3rd Party-Dover-NJ,Dover,NJ,USA,40.8892,-74.5546,0
Z07830,3rd Party-Califon-NJ,Califon,NJ,USA,40.7238,-74.8187,0
Z07869,3rd Party-Randolph-NJ,Randolph,NJ,USA,40.8476,-74.5748,0
Z07921,3rd Party-Bedminster-NJ,Bedminster,NJ,USA,40.6523,-74.653,0
Z07940,3rd Party-Madison-NJ,Madison,NJ,USA,40.7588,-74.4161,0
Z07960,3rd Party-Morristown-NJ,Morristown,NJ,USA,40.7921,-74.4856,0
Z07974,3rd Party-New Providence-NJ,New Providence,NJ,USA,40.6983,-74.4023,0
Z07981,3rd Party-Whippany-NJ,Whippany,NJ,USA,40.8215,-74.4265,0
Z08002,3rd Party-Cherry Hill-NJ,Cherry Hill,NJ,USA,39.9323,-75.0227,0
Z08014,3rd Party-Bridgeport-NJ,Bridgeport,NJ,USA,39.8036,-75.3442,0
Z08016,3rd Party-Burlington-NJ,Burlington,NJ,USA,40.0683,-74.8446,0
Z08053,3rd Party-Marlton-NJ,Marlton,NJ,USA,39.8849,-74.9042,0
Z08060,3rd Party-Mount Holly-NJ,Mount Holly,NJ,USA,39.9916,-74.7975,0
Z08062,3rd Party-Mullica Hill-NJ,Mullica Hill,NJ,USA,39.7169,-75.2199,0
Z08069,3rd Party-Penns Grove-NJ,Penns Grove,NJ,USA,39.7126,-75.4691,0
Z08078,3rd Party-Runnemede-NJ,Runnemede,NJ,USA,39.85,-75.0767,0
Z08079,3rd Party-Salem-NJ,Salem,NJ,USA,39.5499,-75.4394,0
Z08080,3rd Party-Sewell-NJ,Sewell,NJ,USA,39.7495,-75.1064,0
Z08085,3rd Party-Swedesboro-NJ,Swedesboro,NJ,USA,39.7531,-75.3269,0
Z08109,3rd Party-Merchantville-NJ,Merchantville,NJ,USA,39.95,-75.0502,0
Z08110,3rd Party-Pennsauken-NJ,Pennsauken,NJ,USA,39.9668,-75.0568,0
Z08212,3rd Party-Cape May Point-NJ,Cape May Point,NJ,USA,38.9369,-74.9653,0
Z08234,3rd Party-Egg Harbor Township-NJ,Egg Harbor Township,NJ,USA,39.3982,-74.5967,0
Z08302,3rd Party-Bridgeton-NJ,Bridgeton,NJ,USA,39.4452,-75.2421,0
Z08320,3rd Party-Fairton-NJ,Fairton,NJ,USA,39.3799,-75.2217,0
Z08328,3rd Party-Malaga-NJ,Malaga,NJ,USA,39.5724,-75.0543,0
Z08344,3rd Party-Newfield-NJ,Newfield,NJ,USA,39.5628,-75.0096,0
Z08360,3rd Party-Vineland-NJ,Vineland,NJ,USA,39.4923,-75.0189,0
Z08505,3rd Party-Bordentown-NJ,Bordentown,NJ,USA,40.1328,-74.7178,0
Z08512,3rd Party-Cranbury-NJ,Cranbury,NJ,USA,40.3063,-74.5263,0
Z08518,3rd Party-Florence-NJ,Florence,NJ,USA,40.1179,-74.8047,0
Z08525,3rd Party-Hopewell-NJ,Hopewell,NJ,USA,40.3869,-74.7811,0
Z08530,3rd Party-Lambertville-NJ,Lambertville,NJ,USA,40.375,-74.9318,0
Z08534,3rd Party-Pennington-NJ,Pennington,NJ,USA,40.3232,-74.7836,0
Z08559,3rd Party-Stockton-NJ,Stockton,NJ,USA,40.4359,-74.9651,0
Z08628,3rd Party-Trenton-NJ,Trenton,NJ,USA,40.2647,-74.823,0
Z08638,3rd Party-Trenton-NJ,Trenton,NJ,USA,40.2499,-74.7595,0
Z08691,3rd Party-Trenton-NJ,Trenton,NJ,USA,40.207,-74.5936,0
Z08723,3rd Party-Brick-NJ,Brick,NJ,USA,40.0425,-74.123,0
Z08731,3rd Party-Forked River-NJ,Forked River,NJ,USA,39.848,-74.213,0
Z08750,3rd Party-Sea Girt-NJ,Sea Girt,NJ,USA,40.1338,-74.0412,0
Z08753,3rd Party-Toms River-NJ,Toms River,NJ,USA,39.9746,-74.1514,0
Z08807,3rd Party-Bridgewater-NJ,Bridgewater,NJ,USA,40.5881,-74.6225,0
Z08810,3rd Party-Dayton-NJ,Dayton,NJ,USA,40.3729,-74.5136,0
Z08817,3rd Party-Edison-NJ,Edison,NJ,USA,40.5161,-74.3975,0
Z08822,3rd Party-Flemington-NJ,Flemington,NJ,USA,40.5156,-74.8532,0
Z08831,3rd Party-Jamesburg-NJ,Jamesburg,NJ,USA,40.3365,-74.433,0
Z08832,3rd Party-Keasbey-NJ,Keasbey,NJ,USA,40.5179,-74.3033,0
Z08835,3rd Party-Manville-NJ,Manville,NJ,USA,40.5389,-74.5922,0
Z08837,3rd Party-Edison-NJ,Edison,NJ,USA,40.5294,-74.3384,0
Z08846,3rd Party-Middlesex-NJ,Middlesex,NJ,USA,40.5746,-74.5019,0
Z08854,3rd Party-Piscataway-NJ,Piscataway,NJ,USA,40.5554,-74.4609,0
Z08861,3rd Party-Perth Amboy-NJ,Perth Amboy,NJ,USA,40.5201,-74.2771,0
Z08863,3rd Party-Fords-NJ,Fords,NJ,USA,40.5353,-74.311,0
Z08876,3rd Party-Somerville-NJ,Somerville,NJ,USA,40.5459,-74.6359,0
Z08887,3rd Party-Three Bridges-NJ,Three Bridges,NJ,USA,40.5254,-74.7963,0
Z10001,3rd Party-New York-NY,New York,NY,USA,40.7507,-73.9965,0
Z10002,3rd Party-New York-NY,New York,NY,USA,40.717,-73.987,0
Z10003,3rd Party-New York-NY,New York,NY,USA,40.7325,-73.9893,0
Z10005,3rd Party-New York-NY,New York,NY,USA,40.706,-74.0086,0
Z10009,3rd Party-New York-NY,New York,NY,USA,40.7271,-73.9786,0
Z10012,3rd Party-New York-NY,New York,NY,USA,40.726,-73.9983,0
Z10019,3rd Party-New York-NY,New York,NY,USA,40.7657,-73.9856,0
Z10022,3rd Party-New York-NY,New York,NY,USA,40.759,-73.9673,0
