iata,name,city,state,country,latitude,longitude
Z02740,"3rd Party-New Bedford-MA","New Bedford",MA,USA,41.6348,-70.9375
Z02745,"3rd Party-New Bedford-MA","New Bedford",MA,USA,41.6928,-70.9326
Z02771,"3rd Party-Seekonk-MA",Seekonk,MA,USA,41.8434,-71.3234
Z02780,"3rd Party-Taunton-MA",Taunton,MA,USA,41.9049,-71.1029
Z02882,"3rd Party-Narragansett-RI",Narragansett,RI,USA,41.4325,-71.4635
Z02886,"3rd Party-Warwick-RI",Warwick,RI,USA,41.7055,-71.4512
Z02888,"3rd Party-Warwick-RI",Warwick,RI,USA,41.7481,-71.4098
Z02906,"3rd Party-Providence-RI",Providence,RI,USA,41.8363,-71.3943
Z02908,"3rd Party-Providence-RI",Providence,RI,USA,41.8393,-71.438
Z02920,"3rd Party-Cranston-RI",Cranston,RI,USA,41.7715,-71.4649
Z02921,"3rd Party-Cranston-RI",Cranston,RI,USA,41.7644,-71.5097
Z03054,"3rd Party-Merrimack-NH",Merrimack,NH,USA,42.8581,-71.5122
Z03106,"3rd Party-Hooksett-NH",Hooksett,NH,USA,43.0588,-71.4441
Z03109,"3rd Party-Manchester-NH",Manchester,NH,USA,42.9726,-71.4135
Z03224,"3rd Party-Canterbury-NH",Canterbury,NH,USA,43.3461,-71.5443
Z03229,"3rd Party-Contoocook-NH",Contoocook,NH,USA,43.2042,-71.7071
Z03275,"3rd Party-Suncook-NH",Suncook,NH,USA,43.1525,-71.4365
Z03443,"3rd Party-Chesterfield-NH",Chesterfield,NH,USA,42.8718,-72.4716
Z03570,"3rd Party-Berlin-NH",Berlin,NH,USA,44.4633,-71.1909
Z03745,"3rd Party-Cornish-NH",Cornish,NH,USA,43.4763,-72.3334
Z03801,"3rd Party-Portsmouth-NH",Portsmouth,NH,USA,43.0702,-70.7768
Z03825,"3rd Party-Barrington-NH",Barrington,NH,USA,43.2081,-71.0436
Z04062,"3rd Party-Windham-ME",Windham,ME,USA,43.8107,-70.417
Z04072,"3rd Party-Saco-ME",Saco,ME,USA,43.5273,-70.4517
Z04074,"3rd Party-Scarborough-ME",Scarborough,ME,USA,43.5832,-70.3527
Z04090,"3rd Party-Wells-ME",Wells,ME,USA,43.3202,-70.6118
Z04092,"3rd Party-Westbrook-ME",Westbrook,ME,USA,43.6821,-70.3582
Z04101,"3rd Party-Portland-ME",Portland,ME,USA,43.6605,-70.2586
Z04104,"3rd Party-Portland-ME",Portland,ME,USA,43.8465,-70.4648
Z04106,"3rd Party-South Portland-ME","South Portland",ME,USA,43.6315,-70.2727
Z04210,"3rd Party-Auburn-ME",Auburn,ME,USA,44.0892,-70.2414
Z04211,"3rd Party-Auburn-ME",Auburn,ME,USA,44.197,-70.2395
Z04220,"3rd Party-Buckfield-ME",Buckfield,ME,USA,44.2953,-70.3671
Z04240,"3rd Party-Lewiston-ME",Lewiston,ME,USA,44.0948,-70.1914
Z04241,"3rd Party-Lewiston-ME",Lewiston,ME,USA,44.197,-70.2395
Z04330,"3rd Party-Augusta-ME",Augusta,ME,USA,44.3444,-69.7635
Z04401,"3rd Party-Bangor-ME",Bangor,ME,USA,44.8178,-68.7895
Z04622,"3rd Party-Cherryfield-ME",Cherryfield,ME,USA,44.6867,-67.9917
Z04945,"3rd Party-Jackman-ME",Jackman,ME,USA,45.5877,-70.2726
Z05001,"3rd Party-White River Junction-VT","White River Junction",VT,USA,43.6629,-72.3682
Z05301,"3rd Party-Brattleboro-VT",Brattleboro,VT,USA,42.85,-72.6233
Z05303,"3rd Party-Brattleboro-VT",Brattleboro,VT,USA,42.9947,-72.7204
Z05446,"3rd Party-Colchester-VT",Colchester,VT,USA,44.5419,-73.1966
Z05655,"3rd Party-Hyde Park-VT","Hyde Park",VT,USA,44.6109,-72.5997
Z05701,"3rd Party-Rutland-VT",Rutland,VT,USA,43.6173,-72.9632
Z05753,"3rd Party-Middlebury-VT",Middlebury,VT,USA,44.006,-73.172
Z06002,"3rd Party-Bloomfield-CT",Bloomfield,CT,USA,41.8328,-72.7264
Z06026,"3rd Party-East Granby-CT","East Granby",CT,USA,41.9355,-72.7272
Z06067,"3rd Party-Rocky Hill-CT","Rocky Hill",CT,USA,41.6609,-72.661
Z06074,"3rd Party-South Windsor-CT","South Windsor",CT,USA,41.8367,-72.5608
Z06082,"3rd Party-Enfield-CT",Enfield,CT,USA,41.9872,-72.5637
Z06084,"3rd Party-Tolland-CT",Tolland,CT,USA,41.8769,-72.3681
Z06088,"3rd Party-East Windsor-CT","East Windsor",CT,USA,41.9085,-72.6055
Z06095,"3rd Party-Windsor-CT",Windsor,CT,USA,41.8573,-72.6665
Z06101,"3rd Party-Hartford-CT",Hartford,CT,USA,41.7801,-72.6771
Z06108,"3rd Party-East Hartford-CT","East Hartford",CT,USA,41.7783,-72.6231
Z06109,"3rd Party-Wethersfield-CT",Wethersfield,CT,USA,41.702,-72.6747
Z06110,"3rd Party-W Hartford-CT","W Hartford",CT,USA,41.7313,-72.7337
Z06120,"3rd Party-Hartford-CT",Hartford,CT,USA,41.7848,-72.6738
Z06241,"3rd Party-Dayville-CT",Dayville,CT,USA,41.8502,-71.8575
Z06269,"3rd Party-Storrs Mansfield-CT","Storrs Mansfield",CT,USA,41.8074,-72.2503
Z06360,"3rd Party-Norwich-CT",Norwich,CT,USA,41.5338,-72.0623
Z06389,"3rd Party-Yantic-CT",Yantic,CT,USA,41.5596,-72.1227
Z06405,"3rd Party-Branford-CT",Branford,CT,USA,41.2778,-72.8054
Z06410,"3rd Party-Cheshire-CT",Cheshire,CT,USA,41.507,-72.9049
Z06451,"3rd Party-Meriden-CT",Meriden,CT,USA,41.536,-72.8197
Z06457,"3rd Party-Middletown-CT",Middletown,CT,USA,41.5537,-72.6632
Z06460,"3rd Party-Milford-CT",Milford,CT,USA,41.2195,-73.0554
Z06473,"3rd Party-North Haven-CT","North Haven",CT,USA,41.3784,-72.859
Z06477,"3rd Party-Orange-CT",Orange,CT,USA,41.2795,-73.0254
Z06492,"3rd Party-Wallingford-CT",Wallingford,CT,USA,41.4577,-72.817
Z06516,"3rd Party-West Haven-CT","West Haven",CT,USA,41.2721,-72.965
Z06606,"3rd Party-Bridgeport-CT",Bridgeport,CT,USA,41.2095,-73.2077
Z06810,"3rd Party-Danbury-CT",Danbury,CT,USA,41.3902,-73.4544
Z06811,"3rd Party-Danbury-CT",Danbury,CT,USA,41.4256,-73.4701
Z06824,"3rd Party-Fairfield-CT",Fairfield,CT,USA,41.1639,-73.2657
Z06851,"3rd Party-Norwalk-CT",Norwalk,CT,USA,41.1349,-73.4053
Z07001,"3rd Party-Avenel-NJ",Avenel,NJ,USA,40.579,-74.2799
Z07002,"3rd Party-Bayonne-NJ",Bayonne,NJ,USA,40.6666,-74.1177
Z07004,"3rd Party-Fairfield-NJ",Fairfield,NJ,USA,40.879,-74.2938
Z07006,"3rd Party-Caldwell-NJ",Caldwell,NJ,USA,40.849,-74.2792
Z07008,"3rd Party-Carteret-NJ",Carteret,NJ,USA,40.5825,-74.23
Z07012,"3rd Party-Clifton-NJ",Clifton,NJ,USA,40.8479,-74.1579
Z07014,"3rd Party-Clifton-NJ",Clifton,NJ,USA,40.834,-74.1367
Z07016,"3rd Party-Cranford-NJ",Cranford,NJ,USA,40.6563,-74.3037
Z07032,"3rd Party-Kearny-NJ",Kearny,NJ,USA,40.7631,-74.1372
Z07033,"3rd Party-Kenilworth-NJ",Kenilworth,NJ,USA,40.6747,-74.2908
Z07036,"3rd Party-Linden-NJ",Linden,NJ,USA,40.634,-74.2534
Z07039,"3rd Party-Livingston-NJ",Livingston,NJ,USA,40.7887,-74.3213
Z07040,"3rd Party-Maplewood-NJ",Maplewood,NJ,USA,40.7289,-74.2682
Z07047,"3rd Party-North Bergen-NJ","North Bergen",NJ,USA,40.7946,-74.0196
Z07054,"3rd Party-Parsippany-NJ",Parsippany,NJ,USA,40.8601,-74.4171
Z07058,"3rd Party-Pine Brook-NJ","Pine Brook",NJ,USA,40.8713,-74.3433
Z07068,"3rd Party-Roseland-NJ",Roseland,NJ,USA,40.8218,-74.3048
Z07072,"3rd Party-Carlstadt-NJ",Carlstadt,NJ,USA,40.8366,-74.0847
Z07073,"3rd Party-East Rutherford-NJ","East Rutherford",NJ,USA,40.8302,-74.0971
Z07074,"3rd Party-Moonachie-NJ",Moonachie,NJ,USA,40.8417,-74.059
Z07075,"3rd Party-Wood Ridge-NJ","Wood Ridge",NJ,USA,40.8476,-74.0875
Z07078,"3rd Party-Short Hills-NJ","Short Hills",NJ,USA,40.7392,-74.3275
Z07080,"3rd Party-South Plainfield-NJ","South Plainfield",NJ,USA,40.5807,-74.414
Z07081,"3rd Party-Springfield-NJ",Springfield,NJ,USA,40.7018,-74.3222
Z07088,"3rd Party-Vauxhall-NJ",Vauxhall,NJ,USA,40.7184,-74.2842
Z07092,"3rd Party-Mountainside-NJ",Mountainside,NJ,USA,40.6803,-74.356
Z07094,"3rd Party-Secaucus-NJ",Secaucus,NJ,USA,40.7885,-74.06
Z07105,"3rd Party-Newark-NJ",Newark,NJ,USA,40.7258,-74.1521
Z07111,"3rd Party-Irvington-NJ",Irvington,NJ,USA,40.7257,-74.2321
Z07114,"3rd Party-Newark-NJ",Newark,NJ,USA,40.7076,-74.1788
Z07201,"3rd Party-Elizabeth-NJ",Elizabeth,NJ,USA,40.6695,-74.1989
Z07204,"3rd Party-Roselle Park-NJ","Roselle Park",NJ,USA,40.6656,-74.2677
Z07205,"3rd Party-Hillside-NJ",Hillside,NJ,USA,40.6956,-74.2286
Z07207,"3rd Party-Elizabeth-NJ",Elizabeth,NJ,USA,40.6656,-74.2997
Z07302,"3rd Party-Jersey City-NJ","Jersey City",NJ,USA,40.7216,-74.047
Z07304,"3rd Party-Jersey City-NJ","Jersey City",NJ,USA,40.7165,-74.0725
Z07305,"3rd Party-Jersey City-NJ","Jersey City",NJ,USA,40.7013,-74.0884
Z07405,"3rd Party-Butler-NJ",Butler,NJ,USA,40.9931,-74.3589
Z07450,"3rd Party-Ridgewood-NJ",Ridgewood,NJ,USA,40.984,-74.1144
Z07481,"3rd Party-Wyckoff-NJ",Wyckoff,NJ,USA,40.9986,-74.1671
Z07501,"3rd Party-Paterson-NJ",Paterson,NJ,USA,40.9122,-74.1686
Z07503,"3rd Party-Paterson-NJ",Paterson,NJ,USA,40.8968,-74.1573
Z07512,"3rd Party-Totowa-NJ",Totowa,NJ,USA,40.9033,-74.2176
